PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	ANDREW, G				ANDREW, G			AN ANALYTIC SYSTEM MODEL FOR ORGANIZATION THEORY	ACADEMY OF MANAGEMENT JOURNAL			English	Article																ASHBY WR, 1952, DESIGN BRAIN, P14; Bergman Gustav, 1957, PHILOS SCI; BRAITHWAITE RB, 1960, SCIENTIFIC EXPLANATI, P328; CARNAP R, 1953, READINGS PHILOS SCI, P442; ETZIONI A, 1960, ADM SCI Q, V5; GOULDNER AW, 1959, SOCIOLOGY TODAY; NAGEL E, 1953, VISION ACTION ESSAYS; VONBERTALANFFY L, 1956, YB SOC GENERAL SYSTE, V1, P3	8	0	0	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					190	198		10.2307/254787				9	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900002					2019-01-18	
J	SCHODERBEK, PP				SCHODERBEK, PP			A STUDY OF THE APPLICATIONS OF PERT	ACADEMY OF MANAGEMENT JOURNAL			English	Article																	0	2	2	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					199	210		10.2307/254788				12	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900003					2019-01-18	
J	SCOTT, WE				SCOTT, WE			THE CREATIVE INDIVIDUAL	ACADEMY OF MANAGEMENT JOURNAL			English	Article																CATELL JM, 1903, POPULAR SCI MONOGRAP, V62, P359; CHAMBERS JA, 1964, PSYCHOL MONOGRAPHS, V78; COX CM, 1926, EARLY MENTAL TRAITS, V11; CUMMINGS L, 1965, ACADEMY MANAGEMENT J, V8; JONES FE, 1964, J APPL PSYCHOL, V48, P134, DOI 10.1037/h0047167; MACKINNON DW, 1965, AM PSYCHOL, V20, P273, DOI 10.1037/h0022403; MACKINNON DW, 1962, SATURDAY REV    0210, P15; MCDERMID CD, 1965, J APPL PSYCHOL, V49, P14, DOI 10.1037/h0021658; Miles CC, 1936, PSYCHOL MONOGR, V47, P390, DOI 10.1037/h0093425; MILES CC, 1954, MANUAL CHILD PSYCHOL; STEIN MI, 1960, CREATIVITY INDIVIDUA; Terman L. M., 1947, GIFTED CHILD GROWS	12	9	9	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					211	219		10.2307/254789				9	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900004					2019-01-18	
J	CUMMINGS, L				CUMMINGS, L			ORGANIZATIONAL CLIMATES FOR CREATIVITY	ACADEMY OF MANAGEMENT JOURNAL			English	Article																Hoops T., 1963, BUS HORIZONS, V6, P35; JONES FE, 1964, J APPLIED PSYCHOL, V48, P135; KAHN R, 1964, ORGANIZATIONAL STRES, pCH7; LANZETTA JT, 1965, TRANSACTION      JAN, P30; LORSCH JW, 1965, HARVARD BUS REV, V43, P109; LUDINGTON C, 1958, CREATIVITY CONFORMIT; MCDERMID CD, J APPLIED PSYCHOL, V49, P14; MELTZER L, 1962, AM SOCIOL REV, V27, P351, DOI 10.2307/2089797; MERTON RK, 1957, SOCIAL THEORY SOCIAL, pCH6; PEASE HM, 1964, PERSONNEL ADM, V27, P39; PELZ DD, 1965, TRANSACTION      JAN, P32; RANDALL LK, 1965, HARVARD BUS REV, V43, P86; Simon H. A., 1958, ADM BEHAVIOR; TAYLOR CW, 1964, SCI CREATIVITY ITS R; THOMPSON JD, 1965, TRANSACTION      JAN, P30; TRIANDIS HC, 1963, J APPL PSYCHOL, V47, P104, DOI 10.1037/h0048862; Worthy JC, 1950, AM SOCIOL REV, V15, P169, DOI 10.2307/2086780	17	31	34	2	26	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					220	227		10.2307/254790				8	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900005					2019-01-18	
J	PAINE, FT				PAINE, FT			MANAGEMENT PERSPECTIVE - SENSITIVITY-TRAINING - THE CURRENT STATE OF THE QUESTION	ACADEMY OF MANAGEMENT JOURNAL			English	Article																ARGYRIS C, 1963, TRAINING DIRECTIONS, V17; ARGYRIS C, 1962, INTERPERSONAL COMPET; ARGYRIS CT, 1964, HARVARD BUSINESS MAR; BASS BM, 1962, J APPLIED PSYCHO JUL; BASS BM, 1962, J APPLIED PSYCHOL; BRADFORD LP, 1964, LABORATORY ED T GROU; BUNKER DR, 1963, EFFECT LABORATORY ED; BURKE HL, 1961, HUMAN RELATIONS, V14; HOUSE RJ, 1963, UNPUB T GROUP TRAINI; KLAW S, 1961, FORTUNE          AUG; Likert R., 1961, NEW PATTERNS MANAGEM; MILES MB, 1960, J COUNSELING PSYCHOL, V7; ODIORNE GS, 1963, TRAINING DIRECTORS, V17; TANNENBAUM R, 1961, LEADERSHIP ORG; THIS L, 1963, TRAINING DIRECTO APR	15	0	0	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					228	232		10.2307/254791				5	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900006					2019-01-18	
J	SCHWITTER, JP				SCHWITTER, JP			COMPUTER EFFECT UPON MANAGERIAL JOBS	ACADEMY OF MANAGEMENT JOURNAL			English	Article																ANSHEN M, 1960, MANAGEMENT CORPORATI; ANSHEN M, 1960, MANAGEMENT CORPORATI, P201; BURCK G, 1964, FORTUNE, V69, P230; DOBLER DW, 1963, PERS J, V42, P10; Dunlop J. T., 1962, AUTOMATION TECHNOLOG; EGGERT RJ, 1960, ADVERTISING AGE, V31, P82; FRANSICA JR, 1962, NATIONAL UNDERWRITER, V66, P8; FRANSICA JR, 1962, NATIONAL UNDERWRITER, V66, P11; GRAHAM E, 1961, PRINTERS INK, V274, P56; HUTCHINSON LK, 1964, MANAGE, V16, P18; HUTCHINSON LK, 1964, MANAGE, V16, P14; KOBRIN CL, 1962, IRON AGE, V189, P65; KROUT AJ, 1962, PERSONNEL, V39, P38; KUSHNER A, 1963, PERSONNEL, V40, P27; LEAVITT HJ, 1958, HARVARD BUS REV, V36, P41; MANN FC, 1960, ADMIN SCI QUART, V5, P217, DOI 10.2307/2390779; MCMANUS GJ, 1961, IRON AGE, V187, P69; MCNIECE EH, 1961, PRODUCTION FORECASTI, P60; MELITZ PW, 1961, ADV MANAGEMENT, V26, P4; Michael D. N., 1962, CYBERNATION SILENT C; MICHAEL DM, 1962, CYBERNATION SILENT C, P18; STILIAN GM, 1958, MANAGEMENT REV, V47, P19; WEBER E, 1959, J BUSINESS       APR; WHISLER TL, 9 GRAD SCH BUS U CHI; WITTY MD, 1958, COMPUTERS AUTOMATION, V7, P26; 1962, CREDIT FINANCIAL MAN, V64, P20; 1963, MANAGEMENT REV, V10, P55	27	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	3					233	236		10.2307/254792				4	Business; Management	Business & Economics	CGH79	WOS:A1965CGH7900007					2019-01-18	
J	BODDEWYN, J				BODDEWYN, J			THE COMPARATIVE APPROACH TO THE STUDY OF BUSINESS ADMINISTRATION	ACADEMY OF MANAGEMENT JOURNAL			English	Article																BARTELS R, 1963, COMP MARKETING; BARTELS R, 1955, STUDY COMP GOVT, P24; BODDEWYN J, 1966, J MARKETING RES  FEB; BODDEWYN J, 1965, UNPUB MANAGEMENT TRE; Farmer R. N., 1965, COMP MANAGEMENT EC P; HARBISON, MANAGEMENT IND WORLD; Harbison F., 1959, MANAGEMENT IND WORLD; KERR C, 1964, IND IND MAN, P10; MARTIN NH, 1956, J BUS, V29, P249, DOI 10.1086/294120; MILLMAN RW, 1964, ACAD MANAGE J, V7, P189, DOI 10.2307/255166; PARSONS T, 1937, STRUCTURE SOCIAL ACT, P743; Polanyi K., 1957, GREAT TRANSFORMATION; RADCLIFFEBROWN AR, 1952, STRUCTURE FUNCTION P, P190; THOMPSON JD, 1959, COMP STUDIES ADM; WARNER WL, 1947, SOCIAL SYSTEM FACTOR, P54; 1951, F SOCIAL ANTHR, P226; 1950, AM J SOCIOLOGY, V55, P355	17	6	6	0	3	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	4					261	267		10.2307/255342				7	Business; Management	Business & Economics	CGH80	WOS:A1965CGH8000001					2019-01-18	
J	LITZINGER, WD				LITZINGER, WD			THE MOTEL ENTREPRENEUR AND THE MOTEL MANAGER	ACADEMY OF MANAGEMENT JOURNAL			English	Article																COCHRAN D, 1963, TOURIST COURT J  DEC, P12; COCHRAN D, 1964, TOURIST COURT J  MAY, P12; DELLEVIE R, 1964, TOURIST COURT J  JUN, P70; FLEISHMAN EA, 1960, MANUAL LEADERSHIP OP, P3; GORDON LV, 1960, MANUAL SURVEY INTERP, P3; LITZINGER WD, 1963, THESIS U SO CALIFORN, P91; LITZINGER WD, 1963, J ACADEMY MANAGE MAR, P39; Odiorne G.S., 1961, MANAGERS MAKE THINGS; 1960, MOTIVE PATTERNS MANA	9	16	16	1	4	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	4					268	281		10.2307/255343				14	Business; Management	Business & Economics	CGH80	WOS:A1965CGH8000002					2019-01-18	
J	REHDER, RR				REHDER, RR			COMMUNICATION AND OPINION FORMATION IN A MEDICAL COMMUNITY - THE SIGNIFICANCE OF THE DETAIL MAN	ACADEMY OF MANAGEMENT JOURNAL			English	Article																*AM MED ASS, 1956, EFF PROM MED MARK AR; BAUER RA, 1961, PUBLIC OPINION Q, V25; Berelson B. R., 1954, VOTING; Caplow T, 1954, J MARKETING, V19, P18, DOI 10.2307/1246890; Caplow T, 1952, HARVARD BUS REV, V30, P105; FERBER R, 1958, EFFECTIVENESS PHARMA; GAFFIN B, 1956, EFFECTIVENESS PROMOT; GAFFIN B, 1958, ATTITUDES US PHYSICI; GOULDNER AW, 1960, AM SOCIOL REV, V25, P161, DOI 10.2307/2092623; HAWKINS N, 1960, AM J HOSPITAL PHARM, V17, P146; Katz E, 1955, PERSONAL INFLUENCE P, P82; Katz E., 1955, PERSONAL INFLUENCE; LAZARSFELD P, 1948, PEOPLES CHOICE; MENZEL H, 1957, SOCIOMETRY, V20, P253; Menzel H, 1955, PUBLIC OPIN QUART, V19, P337, DOI 10.1086/266584; *PHARM ADV CLUB, 1955, PHARM ADV, P3; *PHARM ADV CLUB, 1955, PHARM ADV; SILBERMAN CE, 1960, FORTUNE          MAY, P139; *US DEP LAB, 1949, DICT OCC TITL; 1962, HARVARD BUSINESS SEP	20	5	5	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	4					282	291		10.2307/255344				10	Business; Management	Business & Economics	CGH80	WOS:A1965CGH8000003					2019-01-18	
J	RICHMAN, BM				RICHMAN, BM			SIGNIFICANCE OF CULTURAL VARIABLES	ACADEMY OF MANAGEMENT JOURNAL			English	Article																BRODBURN N, 1960, THESIS HARVARD U; DAVIS K, 1964, MANAGEMENT INT, V4, P71; Farmer R. N., 1965, COMP MANAGEMENT EC P; FARMER RN, 1964, CALIF MANAGEMENT REV, P47; FARMER RN, 1964, CALIFORNIA MANAG WIN, P55; GONZALES RF, 1961, J ACADEMY MANAGE APR, P33; HAIRE M, 1964, CALIFORNIA MANAG SUM, P3; HAIRE M, 1963, 13 P CIOS INT MAN C, P101; Harbison F., 1964, ED MANPOWER EC GROWT; Harbison F., 1959, MANAGEMENT IND WORLD; Maslow AH, 1943, PSYCHOL REV, V50, P370, DOI 10.1037/h0054346; McClelland D., 1961, ACHIEVING SOC; MCCLELLAND DC, 1962, HARVARD BUSINESS JUL; MERRILL HF, 1963, MANAGEMENT NEWS, V36; NEWMAN WH, 1959, BUSINESS POLICIES MA; OBERG W, 1963, J ACADEMY MANAGE JUN, P129; Rice AK, 1958, PRODUCTIVITY SOCIAL; RICHMAN B, 1965, SOVIET MANAGEMENT SI, pCH3; RICHMAN B, 1964, MANAGEMENT INT, V4; WHYTE WF, 1963, 13 P CIOS INT MAN C, P481	20	3	3	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	4					292	308		10.2307/255345				17	Business; Management	Business & Economics	CGH80	WOS:A1965CGH8000004					2019-01-18	
