PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	BUCHANAN, JR; FENNELL, RD				BUCHANAN, JR; FENNELL, RD			MODEL-DIRECTED INFORMATION-SYSTEMS FOR MANAGEMENT OF THE FEDERAL-COURTS	MANAGEMENT SCIENCE			English	Article									FED JUDICIAL CTR,WASHINGTON,DC	BUCHANAN, JR (reprint author), HARVARD UNIV,BOSTON,MA 02115, USA.						ANTHONY RN, 1965, PLANNING CONTROL SYS; BACHMAN CW, 1969, DATABASE, V1; BUCHANAN JM, UNPUBLISHED; BUCHANAN JR, 1975, NOV P C INT INF DEC; BURGER WE, 1974, NATIONS BUSINESS SEP; BURGER WE, 1970, ANN C AM BAR ASS; *C CHIEF JUST, 1976, NAT C CAUS POP DISS; CANNON MW, 1973, PUBLIC ADMIN REV, V33, P74, DOI 10.2307/974787; *CODASYL DAT BAS T, 1971, 1971 APR REP; EBERSOLE JL, 1973, J COMPUTER LAW, V3, P83; *FED JUD CTR, 1975, OCT REP; *FED JUD CTR, 1974, REP; *FED JUD CTR, 1978, REP; GREMILLION L, 1979, THESIS HARVARD BUSIN; HEYDEBRAND WV, 1977, LAW SOC REV, V11, P759, DOI 10.2307/3053330; MCKENNEY J, 78123 HARV BUS SCH W; Meldman J. A., 1971, JURIMETRICS J, V12, P65; MILLER EL, 1968, SAN DIEGO LAW REV, V5, P293; Mintzberg H, 1979, STRUCTURING ORG; NIHAN CW, 1974, COURTRAN II ASSESSME; NOLAN RL, 1979, HARVARD BUSINESS MAR; REISER JF, 1976, AIM289 STANF U STANF; ROCKART J, 1979, HARVARD BUSINESS MAR; SOLOMON HE, 1976, JUDICATURE       OCT; *US COURTS ADM OFF, 1979, ANN REP DIR; DEC10APPMABD DOC; FEDERAL RULES CRIMIN	27	2	2	0	4	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	8					887	903		10.1287/mnsc.27.8.887				17	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	ME561	WOS:A1981ME56100004					2019-01-18	
J	VAUPEL, JW				VAUPEL, JW			OVER-TENURED UNIVERSITIES - THE MATHEMATICS OF REDUCTION	MANAGEMENT SCIENCE			English	Article										VAUPEL, JW (reprint author), DUKE UNIV,DURHAM,NC 27706, USA.							0	9	9	0	3	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	8					904	913		10.1287/mnsc.27.8.904				10	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	ME561	WOS:A1981ME56100005					2019-01-18	
J	BRILL, PH; POSNER, MJM				BRILL, PH; POSNER, MJM			A 2 SERVER QUEUE WITH NON-WAITING CUSTOMERS RECEIVING SPECIALIZED SERVICE	MANAGEMENT SCIENCE			English	Article									UNIV TORONTO,TORONTO M5S 1A1,ONTARIO,CANADA	BRILL, PH (reprint author), UNIV ILLINOIS,CHICAGO,IL 60680, USA.						BOOKBINDER JH, 1979, INFOR, V17, P58; BRILL P, UNPUBLISHED; Brill P. H., 1975, THESIS U TORONTO; BRILL PH, 1977, OPER RES, V25, P662, DOI 10.1287/opre.25.4.662; BRILL PH, 1980, J PHARM SCI, V69, P558, DOI 10.1002/jps.2600690522; BRILL PH, 1981, MATH OPER RES, V6, P31, DOI 10.1287/moor.6.1.31; BRILL PH, 1974, 74005 U TOR DEP IND; Buzacott J. A., 1974, INFOR. Canadian Journal of Operational Research and Information Processing, V12, P174; Buzacott J.A., 1971, INFOR, V9, P87; CALLAHAN JR, 1973, NAV RES LOG, V20, P321, DOI 10.1002/nav.3800200212; EIZENMAN M, 1978, 78002 U TOR DEP IND; Libura M., 1971, Archiwum Automatyki i Telemechanika, V16, P279; LINDLEY DV, 1952, P CAMB PHILOS SOC, V48, P277; NEUTS MF, 1978, ADV APPL PROBAB, V10, P185, DOI 10.2307/1426725; POSNER M, 1973, OPER RES, V21, P610, DOI 10.1287/opre.21.2.610; SUGAWARA S, 1965, J OPERATIONS RESEARC, V8, P16; WELCH PD, 1964, OPER RES, V12, P736, DOI 10.1287/opre.12.5.736	17	7	7	0	3	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	8					914	925		10.1287/mnsc.27.8.914				12	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	ME561	WOS:A1981ME56100006					2019-01-18	
J	ROSENBAUM, BA				ROSENBAUM, BA			SERVICE LEVEL RELATIONSHIPS IN A MULTI-ECHELON INVENTORY SYSTEM	MANAGEMENT SCIENCE			English	Article										ROSENBAUM, BA (reprint author), EASTMAN KODAK CO,ROCHESTER,NY 14650, USA.						BROWNLEE KA, 1965, STATISTICAL THEORY M; CONWAY RW, 1963, MANAGEMENT SCI, V10; GRAVES SC, 1977, MANAGEMENT SCI, V23; Hadley G., 1963, ANAL INVENTORY SYSTE; LAWRENCE MJ, 1977, INTERFACES       FEB; MIHONOVICH AJ, 1959, 7TH ANN M ORSA; PARZEN E, 1960, MODERN PROBABILITY T; ROSENBAUM BA, UNPUBLISHED; SAND G, 1975, DOAG0506 EASTM KOD W; SCARF H, 1963, MULTISTAGE INVENTORY; SHERBROOKE CC, 1968, OPERATIONS RES, V16; Tocher K. D., 1963, ART SIMULATION	12	22	22	0	7	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	8					926	945		10.1287/mnsc.27.8.926				20	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	ME561	WOS:A1981ME56100007					2019-01-18	
J	SCULLI, D				SCULLI, D			A STOCHASTIC CUTTING STOCK PROCEDURE - CUTTING ROLLS OF INSULATING TAPE	MANAGEMENT SCIENCE			English	Article										SCULLI, D (reprint author), UNIV HONG KONG,HONG KONG,HONG KONG.						LITTON CD, 1977, OPER RES QUART, V28, P927, DOI 10.2307/3008866	1	19	19	0	5	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	8					946	952		10.1287/mnsc.27.8.946				7	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	ME561	WOS:A1981ME56100008					2019-01-18	
J	ELTON, EJ; GRUBER, MJ; GULTEKIN, M				ELTON, EJ; GRUBER, MJ; GULTEKIN, M			EXPECTATIONS AND SHARE PRICES	MANAGEMENT SCIENCE			English	Article										ELTON, EJ (reprint author), NYU,GRAD SCH BUSINESS,MANAGEMENT DECIS LAB,NEW YORK,NY 10006, USA.						BLUME M, 1975, J FINANCE        JUN; BRENNAN MJ, 1979, J FINANC, V34, P53, DOI 10.2307/2327143; BROWN B, 1978, J FINANCE, V33, P1; CRAGG L, 1968, J FINANCE, V23, P67; ELTON BJ, 1972, MANAGEMENT SCI, V18, P409; KEYNES M, 1964, GENERAL THEORY EMPLO, P156; LITZENBERGER R, 1979, J FINANCIAL EC   JUN; MALKIEL BG, 1970, AM ECON REV, V60, P601; ROLL RW, 1980, J FINANCE        DEC, P1073; WATTS R, 1978, J FINANCIAL EC   JUN, P127	10	61	61	0	9	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	9					975	987		10.1287/mnsc.27.9.975				13	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	MJ498	WOS:A1981MJ49800001					2019-01-18	
J	BLATTBERG, RC; JEULAND, AP				BLATTBERG, RC; JEULAND, AP			A MICROMODELING APPROACH TO INVESTIGATE THE ADVERTISING-SALES RELATIONSHIP	MANAGEMENT SCIENCE			English	Article										BLATTBERG, RC (reprint author), UNIV CHICAGO,GRAD SCH BUSINESS,CHICAGO,IL 60637, USA.						BASS FM, 1972, J MARKETING RES, V9, P298, DOI 10.2307/3149541; BASS FM, 1980, DATA INTERVAL BIAS S; BASS FM, 1979, STOCHASTIC BRAND CHO; CLARKE DG, 1976, J MARKETING RES, V13, P345, DOI 10.2307/3151017; LAMBIN JJ, 1975, ADVERTISING COMPETIT; LODISH LM, 1971, J MARKETING RES, V8, P212, DOI 10.2307/3149763; PALDA KS, 1964, MEASUREMENT CUMULATI; SCHMALENSEE R, 1972, EC ADVERTISING; THEIL H, 1971, PRINCIPLES ECONOMETR, P392; WINDAL PM, 1980, J BUS, V53, P415, DOI 10.1086/296117; ZELLNER A, 1968, EUROPEAN M ECONOMETR, P415; ZIELSKE HA, 1959, J MARKETING, V23, P239, DOI 10.2307/1248262	12	37	38	0	9	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	9					988	1005		10.1287/mnsc.27.9.988				18	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	MJ498	WOS:A1981MJ49800002					2019-01-18	
J	MORRISON, DG; SCHMITTLEIN, DC				MORRISON, DG; SCHMITTLEIN, DC			PREDICTING FUTURE RANDOM EVENTS BASED ON PAST PERFORMANCE	MANAGEMENT SCIENCE			English	Article									UNIV PENN,WHARTON SCH,PHILADELPHIA,PA 19104	MORRISON, DG (reprint author), COLUMBIA UNIV,NEW YORK,NY 10027, USA.						AAKER DA, 1970, J MARKETING, V34, P52, DOI 10.2307/1249820; ANSCOMBE FJ, 1950, BIOMETRIKA, V37, P358; BRASS W, 1958, BIOMETRIKA, V45, P59, DOI 10.1093/biomet/45.1-2.59; CHATFIELD C, 1966, J R STAT SOC SER A-G, V129, P317, DOI 10.2307/2343502; CHATFIELD C, 1973, J AM STAT ASSOC, V68, P828, DOI 10.2307/2284508; EHRENBERG ASC, 1964, J MARKETING RES, V1, P56, DOI 10.2307/3150321; EHRENBERG ASC, 1972, REPEAT BUYING; FINKELSTEIN M, 1979, STATISTICAL CASE NEW; FREEDMAN DA, 1962, ANN MATH STAT, V33, P924, DOI 10.1214/aoms/1177704461; GOODHARDT GJ, 1967, J MARKETING RES, V4, P155, DOI 10.2307/3149360; HERNITER J, 1971, MANAGE SCI, V18, P102; Lord FM, 1968, STATISTICAL THEORIES, DOI http://doi.apa.org/psycinfo/1968-35040-000; MORRISON DG, 1968, IMR-IND MANAG REV, V9, P31; MORRISON DG, 1979, PSYCHOMETRIKA, V44, P427, DOI 10.1007/BF02296206; MORRISON DG, 1969, J MARKETING RES, V6, P342, DOI 10.2307/3150140; MORRISON DG, 1969, J MARKETING RES, V6, P355, DOI 10.2307/3150143; ROBBINS H, 1977, P NATL ACAD SCI USA, V74, P2670, DOI 10.1073/pnas.74.7.2670; SCHMITTLEIN DC, UNPUBLISHED; ZUFRYDEN FS, 1978, MANAGE SCI, V24, P761, DOI 10.1287/mnsc.24.7.761	19	55	55	2	8	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	9					1006	1023		10.1287/mnsc.27.9.1006				18	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	MJ498	WOS:A1981MJ49800003					2019-01-18	
J	KORNBLUTH, JSH; STEUER, RE				KORNBLUTH, JSH; STEUER, RE			MULTIPLE OBJECTIVE LINEAR FRACTIONAL-PROGRAMMING	MANAGEMENT SCIENCE			English	Article									UNIV GEORGIA,ATHENS,GA 30602	KORNBLUTH, JSH (reprint author), HEBREW UNIV JERUSALEM,JERUSALEM 91000,ISRAEL.						BEALE EML, 1955, J ROY STAT SOC B, V17, P173; BITRAN GR, 1973, OPER RES, V21, P22, DOI 10.1287/opre.21.1.22; Charnes A., 1962, NAVAL RES LOG QUART, V9, P181, DOI [10.1002/nay.3800090303, DOI 10.1002/NAV.3800090303]; CHOO EU, 1980, THESIS U BRIT COLUMB; ECKER JG, 1978, MATH PROGRAM, V14, P249, DOI 10.1007/BF01588968; Evans J. P., 1973, Mathematical Programming, V5, P54, DOI 10.1007/BF01580111; Gal T., 1977, EUR J OPER RES, V1, P307, DOI DOI 10.1016/0377-2217(77)90063-7; ISERMANN H, 1977, OPER RES QUART, V28, P711, DOI 10.2307/3008921; Lee S. M., 1972, GOAL PROGRAMMING DEC; MARTOS B, 1964, NAV RES LOGIST Q, V11, P135, DOI 10.1002/nav.3800110204; SCHAIBLE S, 1980, Z OPERATIONS RES, V24; Tigan ST, 1975, MATH REV ANAL NUMERI, V4, P99; WILLIAMS AC, 1963, SIAM J APPL MATH, V11, P82; YU PL, 1975, J MATH ANAL APPL, V49, P430, DOI 10.1016/0022-247X(75)90189-4	14	81	81	0	7	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	9					1024	1039		10.1287/mnsc.27.9.1024				16	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	MJ498	WOS:A1981MJ49800004					2019-01-18	
J	WEGLARZ, J				WEGLARZ, J			PROJECT SCHEDULING WITH CONTINUOUSLY-DIVISIBLE, DOUBLY CONSTRAINED RESOURCES	MANAGEMENT SCIENCE			English	Article										WEGLARZ, J (reprint author), POZNAN TECH UNIV,INST CONTROL ENGN,OPERAT RES LAB,PL-60965 POZNAN,POLAND.		Weglarz, Jan/K-9001-2014	Weglarz, Jan/0000-0002-2237-3479			BURKOV VN, 1969, 4 P IFAC C WARS, V35, P46; Davis E W, 1973, AIIE T, V5, P297; Elmaghraby S, 1977, ACTIVITY NETWORKS PR; LAMBOURN S, 1963, COMPUT J, V6, P300; Talbot B., 1978, MANAGE SCI, V24, P1163; WEGLARZ J, 1976, IEEE T SYST MAN CYB, V6, P783; WEGLARZ J, 1979, IEEE T SYST MAN CYB, V9, P644, DOI 10.1109/TSMC.1979.4310093; Weglarz J., 1977, ACM Transactions on Mathematical Software, V3, P295, DOI 10.1145/355744.355755; WEGLARZ J, 1980, FDN CONTROL ENG, V5, P121	9	68	68	0	3	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1981	27	9					1040	1053		10.1287/mnsc.27.9.1040				14	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	MJ498	WOS:A1981MJ49800005					2019-01-18	
